timestamp,severity,module_name,title,description,request_id,evidence
2026-06-01T11:27:33.695737+00:00,medium,passive_scanner,Missing security header: strict-transport-security,Missing Strict-Transport-Security (HSTS) — allows HTTP downgrade attacks,d5fe531e-f175-489c-88d6-08f905275dba,"{""header"": ""strict-transport-security"", ""url"": ""https://www.eqmaps.info/""}"
2026-06-01T11:27:33.695743+00:00,medium,passive_scanner,Missing security header: content-security-policy,Missing Content-Security-Policy — increases XSS impact,d5fe531e-f175-489c-88d6-08f905275dba,"{""header"": ""content-security-policy"", ""url"": ""https://www.eqmaps.info/""}"
2026-06-01T11:28:01.102745+00:00,medium,passive_scanner,Missing security header: strict-transport-security,Missing Strict-Transport-Security (HSTS) — allows HTTP downgrade attacks,e6c6247c-1ecc-4fde-bae2-6f1b265670eb,"{""header"": ""strict-transport-security"", ""url"": ""https://cnn.com/""}"
2026-06-01T11:28:01.102751+00:00,medium,passive_scanner,Missing security header: content-security-policy,Missing Content-Security-Policy — increases XSS impact,e6c6247c-1ecc-4fde-bae2-6f1b265670eb,"{""header"": ""content-security-policy"", ""url"": ""https://cnn.com/""}"
2026-06-01T11:28:01.262266+00:00,medium,passive_scanner,Missing security header: strict-transport-security,Missing Strict-Transport-Security (HSTS) — allows HTTP downgrade attacks,99fcc570-c328-47f0-ab6d-b44906a11442,"{""header"": ""strict-transport-security"", ""url"": ""https://www.cnn.com/""}"
2026-06-01T11:28:01.262273+00:00,medium,passive_scanner,Missing security header: content-security-policy,Missing Content-Security-Policy — increases XSS impact,99fcc570-c328-47f0-ab6d-b44906a11442,"{""header"": ""content-security-policy"", ""url"": ""https://www.cnn.com/""}"
2026-06-01T11:28:01.516315+00:00,medium,passive_scanner,Missing security header: strict-transport-security,Missing Strict-Transport-Security (HSTS) — allows HTTP downgrade attacks,1396ca24-2c01-4801-988b-7bc0cdc33e72,"{""header"": ""strict-transport-security"", ""url"": ""https://edition.cnn.com/""}"
2026-06-01T11:28:02.707889+00:00,medium,passive_scanner,Missing security header: content-security-policy,Missing Content-Security-Policy — increases XSS impact,3f85208e-d156-4be0-8045-549ac8e32b03,"{""header"": ""content-security-policy"", ""url"": ""https://edition.cnn.com/wbdotp/scripttemplates/otSDKStub.js""}"
2026-06-01T11:28:02.770308+00:00,medium,passive_scanner,Missing security header: content-security-policy,Missing Content-Security-Policy — increases XSS impact,6b1d5e39-b724-4bb4-a4c1-d4f870767d23,"{""header"": ""content-security-policy"", ""url"": ""https://cdn.jsdelivr.net/gh/prebid/category-mapping-file@1/freewheel-mapping.json""}"
2026-06-01T11:28:04.263503+00:00,medium,passive_scanner,Missing security header: content-security-policy,Missing Content-Security-Policy — increases XSS impact,87ed2940-94cd-466c-9738-35042432622a,"{""header"": ""content-security-policy"", ""url"": ""https://cookies-data.onetrust.io/cfw/cmp/v1/session""}"
2026-06-01T11:28:23.033829+00:00,medium,passive_scanner,Missing security header: strict-transport-security,Missing Strict-Transport-Security (HSTS) — allows HTTP downgrade attacks,4cc6beaa-6f85-451a-800e-fbb4a3f9ee56,"{""header"": ""strict-transport-security"", ""url"": ""https://media.cnn.com/api/v1/images/stellar/prod/01-gettyimages-2277138872.JPG?c=16x9&q=h_876,w_1560,c_fill/f_webp""}"
2026-06-01T11:28:23.033833+00:00,medium,passive_scanner,Missing security header: content-security-policy,Missing Content-Security-Policy — increases XSS impact,4cc6beaa-6f85-451a-800e-fbb4a3f9ee56,"{""header"": ""content-security-policy"", ""url"": ""https://media.cnn.com/api/v1/images/stellar/prod/01-gettyimages-2277138872.JPG?c=16x9&q=h_876,w_1560,c_fill/f_webp""}"
2026-06-01T11:28:31.471426+00:00,medium,passive_scanner,Missing security header: strict-transport-security,Missing Strict-Transport-Security (HSTS) — allows HTTP downgrade attacks,a785ebf6-3a12-4968-8d28-311a0971c13a,"{""header"": ""strict-transport-security"", ""url"": ""https://may9.ru/""}"
2026-06-01T11:28:31.471431+00:00,medium,passive_scanner,Missing security header: content-security-policy,Missing Content-Security-Policy — increases XSS impact,a785ebf6-3a12-4968-8d28-311a0971c13a,"{""header"": ""content-security-policy"", ""url"": ""https://may9.ru/""}"
2026-06-01T11:28:55.631127+00:00,medium,passive_scanner,Missing security header: content-security-policy,Missing Content-Security-Policy — increases XSS impact,e07eac83-84ae-45e6-9e47-eed24ce46691,"{""header"": ""content-security-policy"", ""url"": ""https://photo.may9.ru/""}"
2026-06-01T11:28:56.078362+00:00,medium,passive_scanner,Missing security header: strict-transport-security,Missing Strict-Transport-Security (HSTS) — allows HTTP downgrade attacks,2a58e11b-cc83-481a-b177-c84d5cedbf97,"{""header"": ""strict-transport-security"", ""url"": ""https://photo.may9.ru/vendor.css?417c1757""}"
2026-06-01T11:28:56.366642+00:00,medium,passive_scanner,Missing security header: content-security-policy,Missing Content-Security-Policy — increases XSS impact,21b8a0b8-f4a1-4296-9dec-89cd333cd010,"{""header"": ""content-security-policy"", ""url"": ""https://yastatic.net/share2/share.js""}"
2026-06-01T11:29:20.096041+00:00,medium,passive_scanner,Missing security header: content-security-policy,Missing Content-Security-Policy — increases XSS impact,5406bdd8-6a04-4730-b552-dfef12e44f09,"{""header"": ""content-security-policy"", ""url"": ""https://riamediabank.ru/""}"
2026-06-01T11:29:20.202554+00:00,medium,passive_scanner,Missing security header: strict-transport-security,Missing Strict-Transport-Security (HSTS) — allows HTTP downgrade attacks,b753595c-df14-44cc-9511-5edaeb7eccef,"{""header"": ""strict-transport-security"", ""url"": ""https://riamediabank.ru/vendor.css?357121df""}"
